,Flow Card?,Bags Checked,Meal Type,Date,Flight Number,From,To,Class,Price
0,Yes,0,Egg Free,2024-07-22,PA010,Tokyo,New York,Economy,2380.0
2,Yes,1,Vegan,2024-04-20,PA002,New York,London,Economy,3490.0
3,Yes,1,Vegetarian,2024-01-23,PA010,Tokyo,New York,Premium Economy,825.0
6,Yes,3,Vegan,2024-06-05,PA006,Tokyo,London,First Class,618.0
8,Yes,1,Nut Free,2024-03-30,PA004,Perth,London,First Class,446.0
9,Yes,3,Egg Free,2024-06-14,PA006,Tokyo,London,Premium Economy,1062.5
10,Yes,1,Egg Free,2024-07-15,PA006,Tokyo,London,First Class,499.0
11,Yes,0,Vegetarian,2024-02-25,PA004,Perth,London,Premium Economy,827.5
12,Yes,1,Vegan,2024-07-26,PA004,Perth,London,Economy,2245.0
17,Yes,2,Vegetarian,2024-12-10,PA004,Perth,London,Business Class,391.2
19,Yes,2,Vegetarian,2024-09-23,PA005,London,Tokyo,First Class,626.0
23,Yes,2,Dairy Free,2024-06-04,PA006,Tokyo,London,First Class,537.0
24,Yes,0,Vegan,2024-04-16,PA008,Perth,New York,First Class,216.0
25,Yes,3,None,2024-06-21,PA004,Perth,London,Business Class,646.8
27,Yes,3,Nut Free,2024-10-20,PA003,London,Perth,Economy,2215.0
28,Yes,3,Vegan,2024-02-17,PA003,London,Perth,Business Class,784.7999999999998
30,Yes,2,Dairy Free,2024-05-28,PA005,London,Tokyo,Economy,1505.0
31,Yes,1,Dairy Free,2024-06-19,PA003,London,Perth,First Class,454.0
32,Yes,3,Vegan,2024-02-11,PA012,Tokyo,Perth,Premium Economy,1142.5
33,Yes,3,Vegetarian,2024-01-17,PA006,Tokyo,London,Business Class,712.8
38,Yes,2,Dairy Free,2024-04-08,PA003,London,Perth,First Class,525.0
39,Yes,1,Vegetarian,2024-04-12,PA007,New York,Perth,First Class,696.0
40,Yes,0,Vegetarian,2024-09-03,PA004,Perth,London,Economy,3445.0
41,Yes,2,Egg Free,2024-11-02,PA008,Perth,New York,First Class,242.0
42,Yes,3,Vegan,2024-01-11,PA002,New York,London,First Class,406.0
46,Yes,0,Nut Free,2024-08-07,PA005,London,Tokyo,Business Class,739.1999999999998
50,Yes,3,Egg Free,2024-02-25,PA010,Tokyo,New York,Economy,1495.0
52,Yes,0,Vegetarian,2024-12-04,PA003,London,Perth,Economy,2820.0
53,Yes,2,None,2024-02-13,PA005,London,Tokyo,First Class,693.0
55,Yes,2,None,2024-03-23,PA005,London,Tokyo,Economy,3375.0
56,Yes,2,Nut Free,2024-10-09,PA012,Tokyo,Perth,Economy,1340.0
57,Yes,3,Dairy Free,2024-07-05,PA005,London,Tokyo,Premium Economy,1677.5
59,Yes,1,Vegan,2024-06-09,PA003,London,Perth,Business Class,432.0
62,Yes,1,Dairy Free,2024-04-16,PA010,Tokyo,New York,Economy,3105.0
63,Yes,3,Dairy Free,2024-08-19,PA001,London,New York,Economy,2550.0
64,Yes,3,Nut Free,2024-07-16,PA003,London,Perth,First Class,284.0
65,Yes,3,None,2024-05-31,PA009,New York,Tokyo,Economy,2450.0
66,Yes,1,Vegan,2024-07-25,PA007,New York,Perth,Business Class,573.6
69,Yes,2,Dairy Free,2024-11-21,PA006,Tokyo,London,Economy,2270.0
70,Yes,0,Nut Free,2024-07-28,PA010,Tokyo,New York,Premium Economy,1020.0
73,Yes,3,Egg Free,2024-08-16,PA007,New York,Perth,Premium Economy,1665.0
74,Yes,3,Nut Free,2024-03-18,PA003,London,Perth,Business Class,615.6
75,Yes,0,Vegan,2024-09-21,PA002,New York,London,Premium Economy,1175.0
76,Yes,0,Egg Free,2024-07-05,PA001,London,New York,Premium Economy,850.0
78,Yes,0,Egg Free,2024-08-20,PA010,Tokyo,New York,Premium Economy,1365.0
79,Yes,3,Egg Free,2024-10-15,PA008,Perth,New York,Business Class,386.4
