,Flow Card?,Bags Checked,Meal Type,Date,Flight Number,From,To,Class,Price
1,No,2,Vegetarian,2024-09-28,PA008,Perth,New York,Economy,1855.0
4,No,0,Vegetarian,2024-10-01,PA008,Perth,New York,Business Class,634.8
5,No,3,Nut Free,2024-03-04,PA007,New York,Perth,Business Class,458.4
7,No,0,None,2024-02-25,PA010,Tokyo,New York,Premium Economy,1435.0
13,No,2,Vegan,2024-03-29,PA004,Perth,London,Economy,2730.0
14,No,2,Egg Free,2024-06-07,PA005,London,Tokyo,Business Class,294.0
15,No,1,Vegetarian,2024-06-30,PA009,New York,Tokyo,First Class,236.0
16,No,2,Vegan,2024-08-12,PA011,Perth,Tokyo,Economy,2570.0
18,No,2,None,2024-11-05,PA010,Tokyo,New York,First Class,397.0
20,No,2,Egg Free,2024-03-19,PA003,London,Perth,First Class,585.0
21,No,3,Nut Free,2024-02-19,PA011,Perth,Tokyo,Premium Economy,630.0
22,No,3,Dairy Free,2024-03-10,PA011,Perth,Tokyo,Business Class,556.8
26,No,3,Nut Free,2024-12-21,PA006,Tokyo,London,Business Class,307.2
29,No,2,Dairy Free,2024-12-18,PA002,New York,London,Premium Economy,917.5
34,No,1,Vegetarian,2024-06-16,PA012,Tokyo,Perth,Business Class,555.6
35,No,0,Egg Free,2024-03-07,PA006,Tokyo,London,Business Class,811.1999999999998
36,No,0,Nut Free,2024-07-29,PA008,Perth,New York,Economy,2225.0
37,No,0,Egg Free,2024-07-04,PA004,Perth,London,Economy,2705.0
43,No,1,Dairy Free,2024-01-06,PA011,Perth,Tokyo,Premium Economy,632.5
44,No,2,Dairy Free,2024-08-31,PA012,Tokyo,Perth,Premium Economy,1207.5
45,No,2,Egg Free,2024-03-26,PA008,Perth,New York,Business Class,484.8
47,No,2,Vegan,2024-11-17,PA009,New York,Tokyo,First Class,578.0
48,No,2,Vegan,2024-02-12,PA010,Tokyo,New York,Premium Economy,842.5
49,No,1,Egg Free,2024-05-05,PA012,Tokyo,Perth,Business Class,788.4
51,No,2,Egg Free,2024-08-30,PA005,London,Tokyo,First Class,417.0
54,No,0,Vegan,2024-12-24,PA006,Tokyo,London,Premium Economy,1710.0
58,No,1,Vegetarian,2024-05-19,PA004,Perth,London,Business Class,811.1999999999998
60,No,3,Nut Free,2024-03-21,PA002,New York,London,First Class,230.0
61,No,2,None,2024-10-06,PA001,London,New York,Business Class,349.2
67,No,3,None,2024-01-06,PA008,Perth,New York,Premium Economy,820.0
68,No,2,Vegan,2024-06-01,PA006,Tokyo,London,First Class,416.0
71,No,1,Dairy Free,2024-11-06,PA001,London,New York,Business Class,546.0
72,No,0,Nut Free,2024-03-16,PA011,Perth,Tokyo,Economy,3210.0
77,No,3,Vegan,2024-05-16,PA009,New York,Tokyo,Economy,1540.0
83,No,1,Egg Free,2024-05-09,PA012,Tokyo,Perth,Economy,3325.0
86,No,2,Vegan,2024-05-23,PA004,Perth,London,Economy,3375.0
87,No,2,Egg Free,2024-12-18,PA002,New York,London,Economy,2910.0
89,No,2,Egg Free,2024-02-02,PA012,Tokyo,Perth,Economy,3155.0
92,No,3,Egg Free,2024-10-20,PA002,New York,London,Premium Economy,1547.5
93,No,1,Egg Free,2024-11-26,PA006,Tokyo,London,Economy,1550.0
95,No,0,Vegan,2024-11-04,PA008,Perth,New York,Business Class,764.4
96,No,0,Vegan,2024-09-14,PA003,London,Perth,Business Class,654.0
100,No,0,Dairy Free,2024-03-17,PA004,Perth,London,Premium Economy,1230.0
101,No,1,Nut Free,2024-12-31,PA006,Tokyo,London,Business Class,783.6
102,No,3,Vegetarian,2024-05-13,PA010,Tokyo,New York,First Class,493.0
103,No,3,Vegan,2024-08-07,PA004,Perth,London,Economy,2025.0
104,No,3,None,2024-12-05,PA007,New York,Perth,First Class,523.0
108,No,0,Vegan,2024-11-29,PA010,Tokyo,New York,Business Class,325.2
109,No,0,Vegetarian,2024-05-30,PA003,London,Perth,Business Class,828.0
112,No,3,Dairy Free,2024-03-06,PA010,Tokyo,New York,First Class,563.0
117,No,2,Nut Free,2024-04-21,PA001,London,New York,First Class,202.0
119,No,3,Egg Free,2024-08-07,PA006,Tokyo,London,First Class,468.0
120,No,3,Vegan,2024-05-05,PA002,New York,London,Premium Economy,850.0
125,No,0,Vegetarian,2024-06-10,PA004,Perth,London,Economy,1710.0
126,No,3,Vegan,2024-05-11,PA009,New York,Tokyo,Premium Economy,1497.5
127,No,3,Egg Free,2024-11-21,PA007,New York,Perth,Business Class,715.1999999999999
135,No,3,Dairy Free,2024-06-12,PA007,New York,Perth,Premium Economy,817.5
136,No,1,Vegan,2024-10-14,PA005,London,Tokyo,Economy,1490.0
138,No,3,Nut Free,2024-03-31,PA010,Tokyo,New York,Premium Economy,1282.5
