Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
2024-07-22,PA010,Tokyo,New York,Economy,2380,Yes,0,Egg Free
2024-04-20,PA002,New York,London,Economy,3490,Yes,1,Vegan
2024-01-23,PA010,Tokyo,New York,Premium Economy,825,Yes,1,Vegetarian
2024-06-05,PA006,Tokyo,London,First Class,618,Yes,3,Vegan
2024-03-30,PA004,Perth,London,First Class,446,Yes,1,Nut Free
2024-06-14,PA006,Tokyo,London,Premium Economy,1062.5,Yes,3,Egg Free
2024-07-15,PA006,Tokyo,London,First Class,499,Yes,1,Egg Free
2024-02-25,PA004,Perth,London,Premium Economy,827.5,Yes,0,Vegetarian
2024-07-26,PA004,Perth,London,Economy,2245,Yes,1,Vegan
2024-12-10,PA004,Perth,London,Business Class,391.2,Yes,2,Vegetarian
2024-09-23,PA005,London,Tokyo,First Class,626,Yes,2,Vegetarian
2024-06-04,PA006,Tokyo,London,First Class,537,Yes,2,Dairy Free
2024-04-16,PA008,Perth,New York,First Class,216,Yes,0,Vegan
2024-06-21,PA004,Perth,London,Business Class,646.8,Yes,3,None
2024-10-20,PA003,London,Perth,Economy,2215,Yes,3,Nut Free
2024-02-17,PA003,London,Perth,Business Class,784.8,Yes,3,Vegan
2024-05-28,PA005,London,Tokyo,Economy,1505,Yes,2,Dairy Free
2024-06-19,PA003,London,Perth,First Class,454,Yes,1,Dairy Free
2024-02-11,PA012,Tokyo,Perth,Premium Economy,1142.5,Yes,3,Vegan
2024-01-17,PA006,Tokyo,London,Business Class,712.8,Yes,3,Vegetarian
2024-04-08,PA003,London,Perth,First Class,525,Yes,2,Dairy Free
2024-04-12,PA007,New York,Perth,First Class,696,Yes,1,Vegetarian
2024-09-03,PA004,Perth,London,Economy,3445,Yes,0,Vegetarian
2024-11-02,PA008,Perth,New York,First Class,242,Yes,2,Egg Free
2024-01-11,PA002,New York,London,First Class,406,Yes,3,Vegan
2024-08-07,PA005,London,Tokyo,Business Class,739.2,Yes,0,Nut Free
2024-02-25,PA010,Tokyo,New York,Economy,1495,Yes,3,Egg Free
2024-12-04,PA003,London,Perth,Economy,2820,Yes,0,Vegetarian
2024-02-13,PA005,London,Tokyo,First Class,693,Yes,2,None
2024-03-23,PA005,London,Tokyo,Economy,3375,Yes,2,None
2024-10-09,PA012,Tokyo,Perth,Economy,1340,Yes,2,Nut Free
2024-07-05,PA005,London,Tokyo,Premium Economy,1677.5,Yes,3,Dairy Free
2024-06-09,PA003,London,Perth,Business Class,432,Yes,1,Vegan
2024-04-16,PA010,Tokyo,New York,Economy,3105,Yes,1,Dairy Free
2024-08-19,PA001,London,New York,Economy,2550,Yes,3,Dairy Free
2024-07-16,PA003,London,Perth,First Class,284,Yes,3,Nut Free
2024-05-31,PA009,New York,Tokyo,Economy,2450,Yes,3,None
2024-07-25,PA007,New York,Perth,Business Class,573.6,Yes,1,Vegan
2024-11-21,PA006,Tokyo,London,Economy,2270,Yes,2,Dairy Free
2024-07-28,PA010,Tokyo,New York,Premium Economy,1020,Yes,0,Nut Free
2024-08-16,PA007,New York,Perth,Premium Economy,1665,Yes,3,Egg Free
2024-03-18,PA003,London,Perth,Business Class,615.6,Yes,3,Nut Free
2024-09-21,PA002,New York,London,Premium Economy,1175,Yes,0,Vegan
2024-07-05,PA001,London,New York,Premium Economy,850,Yes,0,Egg Free
2024-08-20,PA010,Tokyo,New York,Premium Economy,1365,Yes,0,Egg Free
2024-10-15,PA008,Perth,New York,Business Class,386.4,Yes,3,Egg Free
2024-12-12,PA010,Tokyo,New York,Business Class,793.2,Yes,1,None
2024-02-14,PA006,Tokyo,London,Business Class,270,Yes,0,Dairy Free
2024-11-23,PA003,London,Perth,Business Class,538.8,Yes,1,Vegetarian
2024-02-14,PA002,New York,London,First Class,296,Yes,0,Vegetarian
2024-05-17,PA003,London,Perth,Business Class,379.2,Yes,3,Nut Free
2024-06-02,PA007,New York,Perth,First Class,612,Yes,0,Nut Free
2024-07-23,PA005,London,Tokyo,Premium Economy,1015,Yes,3,Nut Free
2024-08-21,PA012,Tokyo,Perth,Business Class,572.4,Yes,0,None
2024-03-17,PA005,London,Tokyo,Economy,2380,Yes,1,Egg Free
2024-11-27,PA007,New York,Perth,Premium Economy,692.5,Yes,0,Nut Free
2024-07-25,PA009,New York,Tokyo,Business Class,734.4,Yes,2,Vegetarian
2024-05-13,PA006,Tokyo,London,Premium Economy,1520,Yes,3,Vegetarian
2024-09-28,PA011,Perth,Tokyo,Premium Economy,1397.5,Yes,2,Dairy Free
2024-06-14,PA009,New York,Tokyo,First Class,383,Yes,0,Dairy Free
2024-06-08,PA007,New York,Perth,Economy,2825,Yes,2,Vegetarian
2024-01-09,PA002,New York,London,First Class,342,Yes,2,Dairy Free
2024-11-22,PA003,London,Perth,Economy,2245,Yes,1,None
2024-09-04,PA002,New York,London,Premium Economy,1387.5,Yes,2,Vegetarian
2024-09-19,PA009,New York,Tokyo,Premium Economy,675,Yes,2,Egg Free
2024-02-27,PA004,Perth,London,First Class,535,Yes,3,Dairy Free
2024-10-19,PA001,London,New York,Premium Economy,545,Yes,0,Nut Free
2024-03-26,PA012,Tokyo,Perth,First Class,566,Yes,0,Dairy Free
2024-09-27,PA002,New York,London,Premium Economy,625,Yes,2,Dairy Free
2024-05-11,PA006,Tokyo,London,First Class,208,Yes,0,None
2024-06-25,PA012,Tokyo,Perth,Economy,2080,Yes,0,Vegetarian
2024-08-03,PA002,New York,London,First Class,284,Yes,0,None
2024-04-27,PA011,Perth,Tokyo,Economy,3245,Yes,3,Vegetarian
2024-04-09,PA006,Tokyo,London,Premium Economy,710,Yes,2,Egg Free
2024-11-19,PA003,London,Perth,Premium Economy,1357.5,Yes,3,Vegan
2024-06-24,PA006,Tokyo,London,First Class,245,Yes,1,Nut Free
2024-02-12,PA011,Perth,Tokyo,Business Class,505.2,Yes,1,Vegetarian
2024-03-04,PA008,Perth,New York,Business Class,538.8,Yes,0,Egg Free
2024-12-15,PA009,New York,Tokyo,Economy,1310,Yes,0,Egg Free
2024-09-25,PA008,Perth,New York,First Class,642,Yes,3,Vegan
2024-02-23,PA002,New York,London,Premium Economy,547.5,Yes,2,Nut Free
2024-01-27,PA004,Perth,London,Premium Economy,1147.5,Yes,2,Nut Free
2024-06-20,PA008,Perth,New York,First Class,217,Yes,2,Egg Free
2024-10-14,PA011,Perth,Tokyo,Economy,2180,Yes,1,Nut Free
2024-04-01,PA004,Perth,London,Business Class,261.6,Yes,0,Dairy Free
2024-08-04,PA011,Perth,Tokyo,Economy,1005,Yes,1,Dairy Free
2024-04-09,PA007,New York,Perth,Premium Economy,842.5,Yes,3,Egg Free
2024-08-18,PA002,New York,London,Premium Economy,1360,Yes,0,None
2024-04-17,PA002,New York,London,Economy,1630,Yes,1,Vegan
2024-01-15,PA004,Perth,London,Premium Economy,1472.5,Yes,0,Nut Free
2024-02-10,PA009,New York,Tokyo,First Class,368,Yes,3,Vegan
2024-06-02,PA006,Tokyo,London,Premium Economy,1735,Yes,3,Vegan
2024-10-06,PA010,Tokyo,New York,Premium Economy,992.5,Yes,3,Vegan
2024-06-03,PA011,Perth,Tokyo,First Class,201,Yes,1,Vegetarian
2024-12-10,PA002,New York,London,Economy,3030,Yes,2,Dairy Free
2024-12-21,PA001,London,New York,Business Class,655.2,Yes,2,None
2024-09-10,PA011,Perth,Tokyo,Business Class,306,Yes,0,Dairy Free
2024-03-12,PA006,Tokyo,London,Economy,3010,Yes,3,Egg Free
2024-10-17,PA005,London,Tokyo,First Class,228,Yes,1,None
2024-08-24,PA003,London,Perth,Economy,1780,Yes,3,Dairy Free
2024-12-11,PA004,Perth,London,First Class,595,Yes,2,Vegan
2024-08-01,PA003,London,Perth,Economy,2170,Yes,3,Nut Free
2024-07-31,PA010,Tokyo,New York,Premium Economy,1412.5,Yes,0,Vegan
2024-10-08,PA008,Perth,New York,Business Class,249.6,Yes,2,Nut Free
2024-12-12,PA010,Tokyo,New York,Premium Economy,1437.5,Yes,1,Egg Free
2024-10-14,PA009,New York,Tokyo,Economy,1360,Yes,1,Dairy Free
2024-10-25,PA008,Perth,New York,First Class,575,Yes,0,Nut Free
2024-08-07,PA002,New York,London,Premium Economy,832.5,Yes,0,None
2024-12-04,PA004,Perth,London,Economy,2540,Yes,3,Vegan
2024-07-28,PA005,London,Tokyo,First Class,263,Yes,2,None
2024-03-12,PA007,New York,Perth,Economy,2640,Yes,0,Vegan
2024-05-11,PA003,London,Perth,Economy,2885,Yes,3,Vegetarian
